2025-12-31 16:59:52,569 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=SLNH interval=1d path=cache\db58457e8f58ff9f56f8f541.parquet
2025-12-31 16:59:52,569 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=SLNH interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:52,694 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=SLNH interval=1d
2025-12-31 16:59:52,694 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=VGASW interval=1d path=cache\31ff9eba7ae85aba80f15b54.parquet
2025-12-31 16:59:52,694 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=VGASW interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:52,840 | WARNING | backtest_v15.data | DATA_EMPTY ticker=VGASW interval=1d
2025-12-31 16:59:52,840 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=XFOR interval=1d path=cache\c3163966abf0aa103177e500.parquet
2025-12-31 16:59:52,840 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=XFOR interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:52,993 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=XFOR interval=1d
2025-12-31 16:59:52,993 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=MREO interval=1d path=cache\f5bd1ce4d6138c9debdf1eee.parquet
2025-12-31 16:59:52,993 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=MREO interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:53,112 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=MREO interval=1d
2025-12-31 16:59:53,112 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=OSRHW interval=1d path=cache\61c2599415a3270bc54944d3.parquet
2025-12-31 16:59:53,112 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=OSRHW interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:53,240 | WARNING | backtest_v15.data | DATA_EMPTY ticker=OSRHW interval=1d
2025-12-31 16:59:53,241 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=BIVIW interval=1d path=cache\70ca4dc8baa3952f16c16fd5.parquet
2025-12-31 16:59:53,241 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=BIVIW interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:53,372 | WARNING | backtest_v15.data | DATA_EMPTY ticker=BIVIW interval=1d
2025-12-31 16:59:53,372 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=RNGT interval=1d path=cache\d5228205d902dc13ecd610cd.parquet
2025-12-31 16:59:53,372 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=RNGT interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:53,500 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=RNGT interval=1d
2025-12-31 16:59:53,500 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=BRZE interval=1d path=cache\26db7813282be1e811b55c68.parquet
2025-12-31 16:59:53,500 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=BRZE interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:53,667 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=BRZE interval=1d
2025-12-31 16:59:53,667 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=APVO interval=1d path=cache\56b6e2cc781af204f9ec6393.parquet
2025-12-31 16:59:53,667 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=APVO interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
